,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
404,Australia,95,1,7,6,2,93.61,999.0
405,Australia,95,2,5,7,2,93.85,999.0
406,Australia,95,2,5,1,9,90.4,999.0
407,Australia,95,2,5,1,2,92.88,999.0
408,Australia,95,1,5,7,2,90.82,999.0
409,Australia,95,2,7,7,2,93.39,999.0
410,Australia,95,1,7,1,2,88.45,999.0
411,Australia,95,1,7,7,2,89.63,999.0
412,Australia,95,2,8,1,9,93.78,999.0
413,Australia,95,2,8,1,9,88.2,999.0
414,Australia,95,2,4,7,2,93.65,999.0
415,Australia,95,2,4,7,2,93.66,999.0
416,Australia,95,1,4,6,2,91.31,999.0
417,Australia,95,2,6,7,2,93.03,999.0
418,Australia,95,1,6,7,2,89.92,999.0
419,Australia,95,1,7,7,2,92.62,999.0
420,Australia,95,1,5,1,1,92.15,999.0
421,Australia,95,2,5,1,2,93.6,999.0
422,Australia,95,1,5,2,3,72.85,999.0
423,Australia,95,2,8,1,9,90.92,999.0
424,Australia,95,1,7,7,2,89.4,999.0
425,Australia,95,1,4,1,2,93.17,999.0
426,Australia,95,2,7,3,2,91.05,999.0
427,Australia,95,2,7,7,2,94.13,999.0
428,Australia,95,1,8,2,2,91.11,999.0
429,Australia,95,2,7,7,9,92.72,999.0
430,Australia,95,1,4,1,9,95.09,999.0
431,Australia,95,2,7,7,3,93.12,999.0
432,Australia,95,2,7,1,2,999.0,999.0
433,Australia,95,1,5,7,9,93.04,999.0
434,Australia,95,2,5,13,9,90.54,999.0
435,Australia,95,1,7,7,9,94.31,999.0
436,Australia,95,2,7,1,2,93.65,999.0
437,Australia,95,2,4,8,9,92.7,999.0
438,Australia,95,1,7,5,2,88.45,999.0
439,Australia,95,1,8,1,1,90.92,999.0
440,Australia,95,1,6,1,1,89.4,999.0
441,Australia,95,2,3,7,1,999.0,999.0
442,Australia,95,1,8,2,2,90.06,999.0
443,Australia,95,2,5,3,9,94.09,999.0
444,Australia,95,2,3,7,9,90.54,999.0
445,Australia,95,2,6,2,3,94.82,999.0
446,Australia,95,1,7,3,2,91.93,999.0
